data,lat,lon,attualmente_positivi,ricoverati,nuovi_positivi,fine_sorveglianza
2021-07-08,42.67962,14.01091,17,0,5,0
2021-07-09,42.67962,14.01091,,0,,
2021-07-10,42.67962,14.01091,,0,,
2021-07-11,42.67962,14.01091,,0,,
2021-07-12,42.67962,14.01091,,0,,
2021-07-13,42.67962,14.01091,,0,,
2021-07-14,42.67962,14.01091,,0,,
2021-07-15,42.67962,14.01091,,0,,
2021-07-16,42.67962,14.01091,25,0,2,0
2021-07-17,42.67962,14.01091,,0,,
2021-07-18,42.67962,14.01091,,0,,
2021-07-19,42.67962,14.01091,,0,,
2021-07-20,42.67962,14.01091,,0,,
2021-07-21,42.67962,14.01091,,0,,
2021-07-22,42.67962,14.01091,,0,,
2021-07-23,42.67962,14.01091,,0,,
2021-07-24,42.67962,14.01091,,0,,
2021-07-25,42.67962,14.01091,,0,,
2021-07-26,42.67962,14.01091,,0,,
2021-07-27,42.67962,14.01091,,0,,
2021-07-28,42.67962,14.01091,,0,,
2021-07-29,42.67962,14.01091,,1,,
2021-07-30,42.67962,14.01091,,2,,
2021-07-31,42.67962,14.01091,,3,,
2021-08-01,42.67962,14.01091,,3,,
2021-08-02,42.67962,14.01091,,3,,
2021-08-03,42.67962,14.01091,,3,,
2021-08-04,42.67962,14.01091,,3,,
2021-08-05,42.67962,14.01091,,3,,
2021-08-06,42.67962,14.01091,23,3,0,0
2021-08-07,42.67962,14.01091,,2,,
2021-08-08,42.67962,14.01091,,2,,
2021-08-09,42.67962,14.01091,,2,,
2021-08-10,42.67962,14.01091,,2,,
2021-08-11,42.67962,14.01091,,3,,
2021-08-12,42.67962,14.01091,,3,,
2021-08-13,42.67962,14.01091,,3,,
2021-08-14,42.67962,14.01091,,3,,
2021-08-15,42.67962,14.01091,,3,,
2021-08-16,42.67962,14.01091,,3,,
2021-08-17,42.67962,14.01091,,3,,
2021-08-18,42.67962,14.01091,72,3,4,0
2021-08-19,42.67962,14.01091,,,,
2021-08-20,42.67962,14.01091,,,,
2021-08-21,42.67962,14.01091,,,,
2021-08-22,42.67962,14.01091,,,,
2021-08-23,42.67962,14.01091,,,,
2021-08-24,42.67962,14.01091,,,,
2021-08-25,42.67962,14.01091,,,,
2021-08-26,42.67962,14.01091,,,,
2021-08-27,42.67962,14.01091,,,,
2021-08-28,42.67962,14.01091,,,,
2021-08-29,42.67962,14.01091,,,,
2021-08-30,42.67962,14.01091,,,,
2021-08-31,42.67962,14.01091,,,,
2021-09-01,42.67962,14.01091,,,,
2021-09-02,42.67962,14.01091,,,,
2021-09-03,42.67962,14.01091,,,,
2021-09-04,42.67962,14.01091,,,,
2021-09-05,42.67962,14.01091,,,,
2021-09-06,42.67962,14.01091,,,,
2021-09-07,42.67962,14.01091,,,,
2021-09-08,42.67962,14.01091,,,,
2021-09-09,42.67962,14.01091,,,,
2021-09-10,42.67962,14.01091,,,,
2021-09-11,42.67962,14.01091,,0,,
2021-09-12,42.67962,14.01091,,0,,
2021-09-13,42.67962,14.01091,,0,,
2021-09-14,42.67962,14.01091,,0,,
2021-09-15,42.67962,14.01091,,0,,
2021-09-16,42.67962,14.01091,,0,,
2021-09-17,42.67962,14.01091,,0,,
2021-09-18,42.67962,14.01091,,0,,
2021-09-19,42.67962,14.01091,,0,,
2021-09-20,42.67962,14.01091,,0,,
2021-09-21,42.67962,14.01091,,0,,
2021-09-22,42.67962,14.01091,,0,,
2021-09-23,42.67962,14.01091,,0,,
2021-09-24,42.67962,14.01091,,0,,
2021-09-25,42.67962,14.01091,,0,,
2021-09-26,42.67962,14.01091,,0,,
2021-09-27,42.67962,14.01091,,0,,
2021-09-28,42.67962,14.01091,,0,,
2021-09-29,42.67962,14.01091,,0,,
2021-09-30,42.67962,14.01091,,0,,
2021-10-01,42.67962,14.01091,,0,,
2021-10-02,42.67962,14.01091,,0,,
2021-10-03,42.67962,14.01091,,0,,
2021-10-04,42.67962,14.01091,,0,,
2021-10-05,42.67962,14.01091,,0,,
2021-10-06,42.67962,14.01091,,0,,
2021-10-07,42.67962,14.01091,,0,,
2021-10-08,42.67962,14.01091,,0,,
2021-10-09,42.67962,14.01091,,0,,
2021-10-10,42.67962,14.01091,,0,,
2021-10-11,42.67962,14.01091,15,0,,
2021-10-12,42.67962,14.01091,,,,
2021-10-13,42.67962,14.01091,,,,
2021-10-14,42.67962,14.01091,,,,
2021-10-15,42.67962,14.01091,,,,
2021-10-16,42.67962,14.01091,,,,
2021-10-17,42.67962,14.01091,,,,
2021-10-18,42.67962,14.01091,,,,
2021-10-19,42.67962,14.01091,,,,
2021-10-20,42.67962,14.01091,,,,
2021-10-21,42.67962,14.01091,,,,
2021-10-22,42.67962,14.01091,,,,
2021-10-23,42.67962,14.01091,,,,
2021-10-24,42.67962,14.01091,,,,
2021-10-25,42.67962,14.01091,,,,
2021-10-26,42.67962,14.01091,,,,
2021-10-27,42.67962,14.01091,,,,
2021-10-28,42.67962,14.01091,,,,
2021-10-29,42.67962,14.01091,,,,
2021-10-30,42.67962,14.01091,,,,
2021-10-31,42.67962,14.01091,,,,
2021-11-01,42.67962,14.01091,,,,
2021-11-02,42.67962,14.01091,,,,
2021-11-03,42.67962,14.01091,,,,
2021-11-04,42.67962,14.01091,66,0,6,0
2021-11-05,42.67962,14.01091,,,,
2021-11-06,42.67962,14.01091,92,1,6,0
2021-11-07,42.67962,14.01091,,,,
2021-11-08,42.67962,14.01091,,,,
2021-11-09,42.67962,14.01091,,,,
2021-11-10,42.67962,14.01091,108,0,7,0
2021-11-11,42.67962,14.01091,112,0,5,0
2021-11-12,42.67962,14.01091,114,0,11,2
2021-11-13,42.67962,14.01091,122,0,11,0
2021-11-14,42.67962,14.01091,125,0,4,0
2021-11-15,42.67962,14.01091,122,1,1,0
2021-11-16,42.67962,14.01091,127,1,8,0
2021-11-17,42.67962,14.01091,131,1,6,0
2021-11-18,42.67962,14.01091,137,3,13,1
2021-11-19,42.67962,14.01091,133,1,9,1
2021-11-20,42.67962,14.01091,,,,
2021-11-21,42.67962,14.01091,142,1,9,0
2021-11-22,42.67962,14.01091,140,0,2,0
2021-11-23,42.67962,14.01091,133,0,1,2
2021-11-24,42.67962,14.01091,135,1,14,0
2021-11-25,42.67962,14.01091,,,,
2021-11-26,42.67962,14.01091,,,,
2021-11-27,42.67962,14.01091,,,,
2021-11-28,42.67962,14.01091,144,0,5,0
2021-11-29,42.67962,14.01091,,,,
2021-11-30,42.67962,14.01091,145,0,6,2
2021-12-01,42.67962,14.01091,,,,
2021-12-02,42.67962,14.01091,,,,
2021-12-03,42.67962,14.01091,133,0,7,0
2021-12-04,42.67962,14.01091,,,,
2021-12-05,42.67962,14.01091,,,,
2021-12-06,42.67962,14.01091,,,,
2021-12-07,42.67962,14.01091,,,,
2021-12-08,42.67962,14.01091,140,0,16,3
2021-12-09,42.67962,14.01091,,,,
2021-12-10,42.67962,14.01091,,,,
2021-12-11,42.67962,14.01091,,,,
2021-12-12,42.67962,14.01091,,,,
2021-12-13,42.67962,14.01091,,,,
2021-12-14,42.67962,14.01091,134,0,10,0
2021-12-15,42.67962,14.01091,,,,
2021-12-16,42.67962,14.01091,140,0,22,2
2021-12-17,42.67962,14.01091,151,0,24,0
2021-12-18,42.67962,14.01091,156,0,16,1
2021-12-19,42.67962,14.01091,,,,
2021-12-20,42.67962,14.01091,166,2,9,0
2021-12-21,42.67962,14.01091,187,2,34,1
2021-12-22,42.67962,14.01091,186,2,42,0
2021-12-23,42.67962,14.01091,197,1,17,1
2021-12-24,42.67962,14.01091,232,1,37,0
2021-12-25,42.67962,14.01091,236,1,40,0
2021-12-26,42.67962,14.01091,236,1,1,0
2021-12-27,42.67962,14.01091,236,0,2,0
2021-12-28,42.67962,14.01091,251,0,16,0
2021-12-29,42.67962,14.01091,303,1,68,5
2021-12-30,42.67962,14.01091,342,2,55,0
2021-12-31,42.67962,14.01091,487,2,119,1
2022-01-01,42.67962,14.01091,566,2,94,0
2022-01-02,42.67962,14.01091,632,2,50,0
2022-01-03,42.67962,14.01091,632,2,8,0
2022-01-04,42.67962,14.01091,735,3,105,10
2022-01-05,42.67962,14.01091,839,7,104,1
2022-01-06,42.67962,14.01091,937,7,114,7
2022-01-07,42.67962,14.01091,932,6,13,5
2022-01-08,42.67962,14.01091,1081,6,162,1
2022-01-09,42.67962,14.01091,,,,
2022-01-10,42.67962,14.01091,1222,8,32,2
2022-01-11,42.67962,14.01091,1311,10,114,1
